Sex,Height (cm),Weight (KG),Arm Span (cm),How long have you been climbing for (years)?,Hardest V Grade ever climbed ,Frequency of climbing sessions per week,Average hours climbing per week (not including training),Average hours Training for climbing per week ,Campus Board frequency per week ,Campus Board time per week (hours),Frequency of Endurance training sesions per week,General Strength Training frequency per week ,Time spent General strength training per week (hours),Max pull up reps,Max push ups reps,BMI,APE,Pullup ratio,top_or_bottom
1,185.0,70.3,196.0,3,6,3,10,6,0,0,0,3,6,20,35,20.540540540540537,1.0594594594594595,1.2844950213371267,Bottom
1,179.0,73.0,181.0,1,3,2,6,0,0,0,0,2,4,18,70,22.783308885490467,1.011173184357542,1.2465753424657535,Bottom
1,180.0,72.5,160.0,2,7,5,8,4,0,0,2,2,3,25,100,22.37654320987654,0.8888888888888888,1.3448275862068966,Bottom
1,183.0,86.0,188.0,4,6,3,6,2,0,0,0,2,4,13,40,25.680074054167036,1.0273224043715847,1.1511627906976745,Bottom
1,170.0,85.0,168.0,2,1,2,8,2,0,0,0,2,2,8,10,29.411764705882355,0.9882352941176471,1.0941176470588236,Bottom
1,183.0,79.0,181.0,4,8,5,24,8,0,0,2,1,1,19,50,23.589835468362743,0.9890710382513661,1.240506329113924,Top
1,182.9,80.0,180.0,4,7,3,5,4,1,1,1,2,2,20,60,23.914569981654537,0.9841443411700382,1.25,Bottom
1,180.0,92.0,190.0,2,4,2,4,0,0,0,1,1,1,8,25,28.39506172839506,1.0555555555555556,1.0869565217391304,Bottom
1,180.0,70.0,183.0,7,8,5,8,3,0,0,1,2,2,25,30,21.604938271604937,1.0166666666666666,1.3571428571428572,Top
0,169.0,57.0,170.0,1,2,2,4,0,0,0,0,4,8,4,25,19.95728440880922,1.0059171597633136,1.0701754385964912,Bottom
1,194.0,80.0,196.0,1,2,4,7,1,0,0,1,2,1,12,45,21.25624402168137,1.0103092783505154,1.15,Bottom
1,186.0,78.0,190.0,9,7,2,4,2,2,1,0,0,0,12,15,22.54595907041276,1.021505376344086,1.1538461538461537,Bottom
