sex,max_boulder,exp,pullup,pushup,height (cm),weight (kg),span (cm)
1,0,1,14.0,45.0,174.75200000000000,62.595696,197.612
0,0,6,6.0,22.0,160.02,68.0388,158.75
1,0,6,12.0,24.0,172.72,73.481904,170.18
1,0,5,17.0,27.0,187.96,79.83219200000000,190.5
1,7,5,9.0,12.0,195.58,90.7184,198.12
1,6,2,17.0,25.0,172.72,61.23492,172.72
1,6,2,14.0,28.0,182.88,79.3786,182.88
0,5,3,11.0,17.0,154.94,56.699,157.48
0,4,3,10.0,32.0,166.87800000000000,58.96696,166.87800000000000
0,4,3,7.0,16.0,172.72,65.77084000000000,30.48
1,6,2,16.0,31.0,187.96,81.64656,187.96
3,3,4,3.0,40.0,170.18,67.585208,165.1
1,0,6,17.0,36.0,180.34,75.749864,187.96
1,6,3,15.0,27.0,152.4,73.935496,419.1
1,4,5,16.0,28.0,182.88,79.3786,187.96
1,6,6,23.0,51.0,177.8,74.84268,182.88
1,8,6,14.0,33.0,167.64000000000000,63.50288,165.1
1,9,6,17.0,21.0,182.88,68.0388,185.42000000000000
0,6,6,14.0,35.0,162.56,65.77084000000000,167.64000000000000
1,7,4,15.0,28.0,180.34,78.471416,187.96
0,9,6,16.0,30.0,151.00300000000000,51.255896,151.13
0,9,6,21.0,30.0,152.4,52.16308,157.48
1,6,6,16.0,42.0,175.26,74.389088,176.53
1,5,2,16.0,24.0,180.34,70.30676,182.88
0,0,5,15.0,25.0,149.86,44.452016,154.94
1,8,6,14.0,19.0,172.72,71.213944,180.34
1,6,6,16.0,32.0,182.88,70.760352,187.96
1,8,6,14.0,19.0,172.72,71.213944,180.34
1,6,6,19.0,39.0,175.26,73.028312,180.34
0,0,6,6.0,15.0,175.26,64.863656,172.72
0,7,5,9.0,18.0,170.18,56.699,163.83
1,8,5,28.0,35.0,177.8,70.30676,177.8
1,0,6,11.0,31.0,180.34,65.77084000000000,187.96
1,6,2,20.0,26.0,177.8,66.678024,172.72
1,9,3,23.0,35.0,182.88,74.389088,190.5
